Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2009-10-08,7.674939702634491,7.94627600142287,7.649098179707527,7.791226863861084,3223600,0.0,0.0
2009-10-09,7.752461608360404,7.965654253301492,7.610332973029581,7.888129711151123,2620100,0.0,0.0
2009-10-12,7.913971767266063,7.985035781743834,7.8299866868230605,7.907511234283447,1224600,0.0,0.0
2009-10-13,7.836446295986688,7.888129321534163,7.610332597133786,7.765382289886475,2819900,0.0,0.0
2009-10-14,7.9204349716750135,8.153008692499284,7.862291387441309,8.107786178588867,3035400,0.0,0.0
2009-10-15,7.972117234197795,8.107785378654226,7.9527362467355855,8.075483322143555,2461000,0.0,0.0
2009-10-16,7.939813451105337,7.978576033710977,7.784764352903478,7.804145336151123,2518400,0.0,0.0
2009-10-19,7.823527468708688,7.97211667172996,7.765384510424301,7.8299880027771,2200200,0.0,0.0
2009-10-20,7.829986878815979,7.875209378582485,7.461745115322194,7.494047164916992,3513600,0.0,0.0
2009-10-21,7.4875877360853265,7.758924006923188,7.4294441614614355,7.4617462158203125,3975200,0.0,0.0
2009-10-22,7.474665527830005,7.88813040511725,7.280854463458509,7.842907905578613,3573900,0.0,0.0
2009-10-23,7.875208685104165,7.875208685104165,7.610333010749983,7.707239151000977,3383400,0.0,0.0
2009-10-26,7.687855127865735,8.088399395426832,7.687855127865735,7.901047706604004,6109400,0.0,0.0
2009-10-27,7.90105378272481,7.978578976530486,7.558653410543811,7.578034400939941,5644300,0.0,0.0
2009-10-28,7.545729852300543,7.694318411078153,7.1774874895584695,7.255012035369873,5945000,0.0,0.0
2009-10-29,7.616793975626793,7.72016003820634,7.345457753300315,7.610333442687988,4682200,0.0,0.0
2009-10-30,7.474668305984869,7.578034409697794,7.061203891133169,7.261475563049316,6124200,0.0,0.0
2009-11-02,7.345457897109479,7.584492075532069,7.009518187148932,7.3389973640441895,4012500,0.0,0.0
2009-11-03,7.21625093496133,7.5457307562112605,7.158107364610119,7.474666118621826,2815200,0.0,0.0
2009-11-04,7.6038738059294815,7.6167942561726525,7.125804824725084,7.145186424255371,4201800,0.0,0.0
2009-11-05,7.222711989728579,7.4229836174882795,7.093503772465034,7.332538604736328,4445000,0.0,0.0
2009-11-06,7.2420933333279685,7.364840406454336,7.1322667128994155,7.158108234405518,3435900,0.0,0.0
2009-11-09,7.209792174255705,7.584494590759277,7.209792174255705,7.584494590759277,5295600,0.0,0.0
2009-11-10,7.584495444167973,7.584495444167973,7.230508637032851,7.341948986053467,3537600,0.17,0.0
2009-11-11,7.433721134096936,7.486163560514728,7.191174755623889,7.296059608459473,5528900,0.0,0.0
2009-11-12,7.263280898495489,7.289502104350015,7.125619411468506,7.125619411468506,3578300,0.0,0.0
2009-11-13,7.158400154507141,7.230508355409404,7.099402251422009,7.1649556159973145,3890800,0.0,0.0
