Open,High,Low,Close,Volume,Dividends,Stock Splits
144.2496248579908,144.8124467354106,143.26468992718918,143.5021209716797,141197500,0.0,0
144.4783098981231,145.2961684413671,143.53734787039664,144.6102294921875,136295600,0.0,0
144.6893562612013,145.97330103196524,144.68056699012024,145.75344848632812,114695600,0.0,0
145.63030255493703,145.8853255527745,143.67801126551984,143.73956298828125,206149500,0.0,0
142.34134897532724,143.75720006802695,139.80864306571883,140.17799377441406,321255900,0.0,0
141.13185397442967,141.2379372456731,139.21343837761637,140.62794494628906,271956800,0.839,0
139.16042551622425,140.06216048771398,137.67519196304244,138.8509979248047,222329000,0.0,0
140.10635239303645,141.53854415689264,139.16924742405715,140.18592834472656,162262200,0.0,0
141.33519744394343,141.89216164749948,140.78708250694262,141.5738983154297,134848000,0.0,0
142.42260752903664,143.0591342043413,142.28998993600229,142.40492248535156,129483700,0.0,0
142.00708561147695,142.68780460830553,141.32635312491357,141.82142639160156,160402900,0.0,0
142.56408458614567,143.64264320668528,142.40495962069195,142.65249633789062,131954800,0.0,0
142.44033673580319,143.48353889968647,141.89222156733814,142.51991271972656,154863700,0.0,0
141.87453347795181,143.01498316243516,141.6446817808792,142.581787109375,75216400,0.0,0
143.63378804526062,144.17306728275935,142.59943544017048,144.12002563476562,122416900,0.0,0
144.8626677350167,145.33122038227205,144.17309917906573,144.94223022460938,108092500,0.0,0
145.85281022144605,146.16223788003757,145.22513261423254,145.9854278564453,119298000,0.0,0
145.8439570986923,146.53352555152037,145.54337874535463,146.0384521484375,121410100,0.0,0
147.7358757875085,148.17790760860814,146.0296259433988,148.02761840820312,135592200,0.0,0
147.98337898397298,148.46076730706258,147.7535273454095,148.08946228027344,104212700,0.0,0
148.49614848117392,148.86745353567338,148.2397625096638,148.6552734375,69450600,0.0,0
148.75248004271393,148.84089176506635,147.70045608923544,148.09828186035156,88702100,0.0,0
148.66411385090407,148.94700714187957,148.28395955053782,148.47845458984375,92873900,0.0,0
148.796690022152,149.6453967151264,148.69944252076678,149.29176330566406,103620100,0.0,0
148.98235580984985,149.61003321847005,148.79669657548837,149.55699157714844,103831700,0.0,0
149.7691924097923,150.06093496727073,149.41555893569526,149.8487548828125,79428600,0.0,0
150.1140027948378,150.14052362380295,149.45095509122964,149.530517578125,80829700,0.0,0
150.10512696546814,150.167017881929,148.68178427398198,148.9823760986328,112914000,0.0,0
148.71715587356246,149.4774509864677,148.4696191846852,149.34483337402344,111088600,0.0,0
148.71718172849748,149.54820368123447,148.0983398987168,149.50399780273438,107814600,0.0,0
149.12375189173954,149.4597001744212,148.61984295744895,149.044189453125,79695000,0.0,0
149.49507025140446,149.65419512863352,148.6905696216836,149.044189453125,85209600,0.0,0
149.35372149595844,150.15822268896702,148.955895534608,149.150390625,142388700,0.0,0
150.28196190012437,151.0068869683824,150.2023859315047,150.87428283691406,110438400,0.0,0
150.53832485266705,151.14833079827537,150.33499403404358,151.13064575195312,91116700,0.0,0
150.79471836866165,151.1395025956694,150.60022331858153,150.90963745117188,54072700,0.0,0
150.61789360411294,150.94500627088811,149.71615855016213,150.05209350585938,87495000,0.0,0
149.57470620205467,149.7868728093011,149.00890609983344,149.56585693359375,84854700,0.0,0
150.2730928323043,150.4499028142127,149.34482356511404,150.1139678955078,102181300,0.0,0
149.91950233344716,150.3792191685506,149.15920712105049,149.68080139160156,91757700,0.0,0
148.9293618514538,149.68080782699454,148.85863514380168,149.50399780273438,68593300,0.0,0
149.76920439796456,150.2023868900179,148.88514087656424,149.94601440429688,80806000,0.0,0
149.8752687822721,150.11396968004135,149.14149453337913,149.17686462402344,79829200,0.0,0
148.00106891507576,148.01874047188406,146.83409865830177,147.09048461914062,152931800,0.0,0
146.8075788695099,147.31150152660206,146.3125054806224,146.604248046875,130868200,0.0,0
146.43629103301578,146.9402137493151,145.65831076493532,145.6671600341797,96437600,0.0,0
145.9058378894559,146.93135481359607,145.74671293040254,146.38323974609375,89294400,0.0,0
145.97653388162723,146.78103475579476,145.15436145333047,145.48146057128906,159530500,0.0,0
145.7820545921156,147.01975149119284,145.77321881409796,146.8075714111328,101471400,0.0,0
147.24075014510828,147.48828679805314,146.5511818276568,147.30262756347656,90888900,0.0,0
147.4529360463711,147.90381703672352,146.65728434181847,146.75453186035156,89702100,0.0,0
145.3046883986553,146.75455210881546,144.28802069259243,144.39410400390625,158619400,0.0,0
144.33218055115043,145.4195882060072,144.14653479819,144.90682983398438,108113000,0.0,0
144.5886036379013,145.90584976081462,144.4559860048278,145.13671875,119200500,0.0,0
145.4372358286545,145.45492087022419,144.2525943484359,144.67694091796875,134928900,0.0,0
146.07383276085486,146.38326043350656,144.72121645878912,145.3312225341797,142375100,0.0,0
145.36653813969224,146.78104497318128,145.10132991193285,146.53350830078125,97389400,0.0,0
146.6219297262429,147.10815383575923,146.51583293839067,146.71917724609375,63090500,0.0,0
147.20539736728358,147.6209082599578,145.41074967753647,146.78988647460938,159756500,0.0,0
147.15236993308503,148.2839701574068,147.15236993308503,148.19557189941406,87559300,0.0,0
149.08843252630774,149.31828412515682,148.75248415975233,149.29176330566406,105847200,0.0,0
149.08849246307537,149.7603759765625,148.83211994166626,149.7603759765625,94545900,0.0,0
149.70730251906812,149.9017975587199,149.15918749263378,149.36251831054688,83209000,0.0,0
149.52164583006538,149.8133883682414,149.17686164671863,149.69845581054688,72727800,0.0,0
151.31629387612492,151.38702056647014,150.32613370102848,150.56483459472656,106299200,0.0,0
150.69749127966344,151.2721272393564,150.69749127966344,151.2367706298828,82523300,0.0,0
