Open,High,Low,Close,Volume,Dividends,Stock Splits
21.14790516926388,21.40071599406246,21.071473415938787,21.18906021118164,4273000,0.0,0.0
21.33603937970614,21.512418420056807,20.977400726750442,21.15966033935547,3641800,0.0,0.0
21.142018263852435,21.388950684183328,21.136139935102584,21.306640625,2884400,0.0,0.0
21.28312931643024,21.341921592985766,20.771629333496094,20.771629333496094,4798300,0.0,0.0
20.595243908007546,20.612883381679108,20.019071190182004,20.06610679626465,6231100,0.0,0.0
20.2366090270331,20.46590428518203,20.071988860673255,20.09550666809082,8509000,0.0,0.0
19.977916501111846,20.207209477769972,19.88972810235628,19.983797073364258,5296700,0.0,0.0
20.11314548335002,20.654043882566068,20.101386578716873,20.554094314575195,5656900,0.0,0.0
20.654042346976734,20.695197388742077,20.360076481349093,20.48941993713379,3820200,0.0,0.0
20.577607294713427,21.006797120583705,20.565848392839843,20.73634910583496,3755100,0.0,0.0
20.73046847887043,21.042073770746047,20.70107234565456,20.783382415771484,4642400,0.0,0.0
20.765749323364528,20.94212840059631,20.612888054505426,20.665802001953125,2583400,0.0,0.0
20.612883979055567,21.006797098898467,20.583485603011358,20.718711853027344,4076000,0.0,0.0
20.595244526133193,20.85981421133575,20.577607294713427,20.73634910583496,1775100,0.0,0.0
20.806903758025047,20.900972745982596,20.518818463622,20.836299896240234,1949900,0.0,0.0
20.924486995101354,20.948004798786535,20.654038981065405,20.783382415771484,2875100,0.0,0.0
20.889212008653335,20.889212008653335,20.730470184886507,20.806901931762695,2869200,0.0,0.0
20.842178463248345,20.889211831308813,20.677556068083284,20.84805679321289,3013200,0.0,0.0
21.042079488521374,21.218458578525397,20.977406632204143,21.171422958374023,2819000,0.0,0.0
21.147898835383188,21.353673983341515,21.089104333980163,21.306640625,3254300,0.0,0.0
21.294881724719396,21.36543288362212,20.989157045766376,21.306640625,3642900,0.0,0.0
21.259606949146605,21.347797587847232,21.124382947845124,21.32427978515625,3789900,0.0,0.0
21.38307249303729,21.453625902574995,21.224330685749184,21.23021125793457,3504900,0.0,0.0
21.230212052697286,21.241970954727105,20.87157339052219,21.0538330078125,4902800,0.0,0.0
21.05383647865929,21.218456648652843,21.006800862785923,21.153783798217773,3644500,0.0,0.0
21.177296167951635,21.218451199881656,20.859812570679143,21.118501663208008,3532300,0.0,0.0
21.112623237577377,21.200813872899012,20.93624420971513,21.130260467529297,13297600,0.0,0.0
21.14790584902706,21.159664753207476,20.930369485861902,21.089111328125,2944200,0.0,0.0
20.995038400282134,21.2302119542252,20.93624613318698,21.06559181213379,3214200,0.0,0.0
21.036193132251277,21.224331075578398,20.948004732881113,21.183176040649414,2757900,0.0,0.0
21.177299028824304,21.336040848905217,21.124385088797332,21.25373077392578,2519800,0.0,0.0
21.14790033444744,21.194933696122902,20.94800350106932,21.000917434692383,4545100,0.0,0.0
21.01268001318111,21.271369154621343,20.995040537032345,21.077350616455078,4625300,0.0,0.0
21.200822185670944,21.39483851955827,21.106753184408202,21.353683471679688,3251500,0.0,0.0
21.236089587338803,21.39483139462691,21.16553842058225,21.23021125793457,3137600,0.0,0.0
21.147901286533315,21.300762522336772,21.053832316166304,21.21845245361328,3583600,0.0,0.0
21.230214892862595,21.31840330571216,21.1361459068208,21.27136993408203,3198000,0.0,0.0
21.218455454398004,21.430111228352136,21.106749237158425,21.394834518432617,4621400,0.0,0.0
20.771628478428788,20.771628478428788,20.13666115241603,20.20133399963379,16526800,0.0,0.0
20.17781770114108,20.289523927460753,19.78978283161074,19.925006866455078,8025500,0.0,0.0
19.883849154371095,20.166056090447885,19.872090251686892,20.036712646484375,4551000,0.0,0.0
20.060230782719337,20.119025303683454,19.872092801197454,19.91912841796875,4346000,0.0,0.0
19.883850375823467,19.966160456887785,19.795659721665128,19.830936431884766,4280500,0.0,0.0
19.76626420454832,19.830937053922163,19.607522367752953,19.678075790405273,4304900,0.0,0.0
19.601644026173144,19.607522356666728,19.34883320209919,19.354711532592773,5853800,0.0,0.0
19.34883399427932,19.40174794201426,19.131299872605297,19.14305877685547,4647500,0.0,0.0
19.14305486463246,19.354708369535416,19.13129596278543,19.154813766479492,3407100,0.0,0.0
19.154816629074922,19.190091097106414,19.001953125,19.001953125,4057200,0.0,0.0
19.04898589263741,19.225364934780476,18.966673579708193,19.154813766479492,22122000,0.0,0.0
19.290039725333198,19.589883903036807,19.25476301622277,19.578125,15350400,0.0,0.0
19.58400411239793,19.636918050726706,19.484054565429688,19.484054565429688,3354200,0.0,0.0
19.419386194770862,19.531094669611317,19.3488350083539,19.366472244262695,3796500,0.0,0.0
19.395867439178588,19.419383002263814,19.225366710817603,19.231245040893555,2788500,0.0,0.0
19.254763661053875,19.554607848799094,19.23124585419266,19.460538864135742,4556300,0.0,0.0
19.5075705569612,19.525207787171386,19.372346558860627,19.472293853759766,5665700,0.0,0.0
19.58988500294168,19.60164390663871,19.260642427769493,19.348833084106445,7474300,0.0,0.0
19.420562074241865,19.510221652897037,19.10973604504196,19.426538467407227,7054900,0.54,0.0
19.390671578566963,19.52815141135134,19.205373764038086,19.205373764038086,3960600,0.0,0.0
19.259169694863733,19.277101152319606,19.038005552093335,19.06789207458496,6892400,0.0,0.0
19.043983492480326,19.21134984617436,19.043983492480326,19.13962173461914,5716000,0.0,0.0
19.145599744870747,19.546086485300524,19.145599744870747,19.498266220092773,14417400,0.0,0.0
19.498266695387837,19.528153221773326,19.426538576023496,19.480335235595703,3410900,0.0,0.0
19.498266955363096,19.63574680272605,19.33687697449463,19.35481071472168,3685600,0.0,0.0
